5011	36	48398	1	5
606	3978	985	2879	2480	3069	1542	2867	522	1496	396	2168	1414	1288	953	404	1321	1897	933	659	1976	784	1128	246	1777	1869	189	1166	519	1482	642	2124	1184	551	666	238
53	107	1	16	0	5	6	5	1	3	2	2	0	9	2	4	0	1	0	5	1	3	7	2	3	0	3	1	1	3	3	3	2	0	8	2	3	0
54	54	2	7	0	11	0	3	5	2	2	0	0	0	0	1	1	0	1	0	0	1	1	1	0	3	3	0	2	0	1	0	2	5	0	0	0	0
55	15	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	6	0	1	0	0	0	1	2	0	0	0	1
56	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	11	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
58	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	29	1	2	4	3	0	0	1	0	0	2	1	0	0	2	0	0	0	2	1	1	1	0	0	0	1	1	0	1	1	0	0	0	2	1	0	1
60	38	2	1	1	1	2	3	0	2	1	0	1	1	0	0	0	0	6	1	0	1	1	1	2	0	1	1	1	1	0	1	1	0	1	0	4	0
61	33	3	3	0	5	3	4	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	2	1	1	0	1	0	1	0	1	0	0	0	0
62	8	1	0	0	0	1	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
63	47	1	5	0	3	4	3	0	1	2	2	0	2	1	0	1	0	3	1	2	0	2	0	1	4	2	4	0	1	0	0	0	2	0	0	0	0
64	25	1	2	0	3	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	3	1	0	1	0	1	1	3	0	0	1	0
65	6	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
66	19	1	0	0	0	3	1	0	1	0	0	1	0	1	0	1	0	0	1	0	1	1	1	0	0	1	1	0	1	1	0	0	2	0	0	0	0
